300	0
305	9.5
310	42.3
315	107.8
320	181
325	246
330	395.3
335	390.1
340	435.3
345	438.9
350	483.7
360	520.3
370	666.2
380	712.5
390	720.7
400	1013.1
410	1158.2
420	1184
430	1071.9
440	1302
450	1526
460	1599.6
470	1581
480	1628.3
490	1539.2
500	1548.7
510	1586.5
520	1484.9
530	1572.4
540	1550.7
550	1561.5
570	1501.5
590	1395.5
610	1485.3
630	1434.1
650	1419.9
670	1392.3
690	1130
710	1316.7
718	1010.3
724.4	1043.2
740	1211.2
752.5	1193.9
757.5	1175.5
762.5	643.1
767.5	1030.7
780	1131.1
800	1081.6
816	849.2
823.7	785
831.5	916.4
840	959.9
860	978.9
880	933.2
905	748.5
915	667.5
925	690.3
930	403.6
937	258.3
948	313.6
965	526.8
980	646.4
993.5	746.8
1040	690.5
1070	637.5
1100	412.6
1120	108.9
1130	189.1
1137	132.2
1161	339
1180	460
1200	423.6
1235	480.5
1290	413.1
1320	250.2
1350	32.5
1395	1.6
1442.5	55.7
1462.5	105.1
1477	105.5
1497	182.1
1520	262.2
1539	274.2
1558	275
1578	244.6
1592	247.4
1610	228.7
1630	244.5
1646	234.8
1678	220.5
1740	171.5
1800	30.7
1860	2
1920	1.2
1960	21.2
1985	91.1
2005	26.8
2035	99.5
2065	60.4
2100	89.1
2148	82.2
2198	71.5
2270	70.2
2360	62
2450	21.2
2494	18.5
2537	3.2
2941	4.4
2973	7.6
3005	6.5
3056	3.2
3132	5.4
3156	19.4
3204	1.3
3245	3.2
3317	13.1
3344	3.2
3450	13.3
3573	11.9
3765	9.8
4045	7.5
